#### UTF-8 
#### 外国人名，中英对照的，大约有4万个
#### 共39687条
#### 来源维基百科(wikipedia), https://github.com/beifeng600

克利斯登·奈加特	Kristen Nygaard
林纳斯·托瓦兹	Linus Torvalds
理查德·斯托曼	Richard Stallman
埃里克·雷蒙	Eric S. Raymond
阿诺·施瓦辛格	Arnold Schwarzenegger
安东尼奥·班德拉斯	Antonio Banderas
约翰·沃尔夫冈·冯·歌德	Johann Wolfgang von Goethe
约翰·沃尔夫冈·歌德	Johann Wolfgang von Goethe
汉斯·莫拉维克	Hans Moravec
勒内·笛卡儿	René Descartes
巴鲁赫·斯賓諾莎	Baruch Spinoza
弗里德里希·尼采	Friedrich Nietzsche
约翰·洛克	John Locke
皮埃尔-西蒙·拉普拉斯	Pierre-Simon Laplace
约翰·缪勒	Regiomontanus
尼古拉·哥白尼	Nicolaus Copernicus
约翰内斯·开普勒	Johannes Kepler
威廉·吉尔伯特	William Gilbert (astronomer)
弗兰西斯·培根	Francis Bacon
伽利略·伽利莱	Galileo Galilei
理查德·馬修·斯托曼	Richard Stallman
萨达姆·侯赛因	Saddam Hussein
克里斯托夫·维利巴尔德·格鲁克	Christoph Willibald Gluck
沃尔夫冈·阿马德乌斯·莫扎特	Wolfgang Amadeus Mozart
路德维希·范·贝多芬	Ludwig van Beethoven
阿道夫·希特勒	Adolf Hitler
阿诺德·勋伯格	Arnold Schoenberg
理查德·瓦格纳	Richard Wagner
彼得·伊里奇·柴可夫斯基	Pyotr Ilyich Tchaikovsky
翁贝托·焦尔达诺	Umberto Giordano
巴巴拉·麦克林托克	Barbara McClintock
布罗尼斯拉夫·马林诺夫斯基	Bronisław Malinowski
雅克·奥芬巴赫	Jacques Offenbach
温琴佐·贝利尼	Vincenzo Bellini
托尼·布莱尔	Tony Blair
乔治·迈克尔	George Michael
田纳西·威廉斯	Tennessee Williams
托马斯·拉尼尔·威廉斯	Tennessee Williams
马哈茂德·阿巴斯	Mahmoud Abbas
乔治·沃克·布什	George W. Bush
乔治·赫伯特·沃克·布什	George H. W. Bush
比尔·克林顿	Bill Clinton
乔治·布什	George Bush
格雷格·洛加尼斯	Greg Louganis
格雷格·罗加尼斯	Greg Louganis
儒勒·马斯内	Jules Massenet
卡尔·马利亚·冯·韦伯	Carl Maria von Weber
格洛丽亚·马卡帕加尔-阿罗约	Gloria Macapagal-Arroyo
杰克逊·波洛克	Jackson Pollock
乔治·华盛顿	George Washington
约翰·亚当斯	John Adams
托马斯·杰斐逊	Thomas Jefferson
詹姆斯·麦迪逊	James Madison
詹姆斯·门罗	James Monroe
鲍勃·霍普	Bob Hope
约翰·昆西·亚当斯	John Quincy Adams
威廉·杰弗逊·克林顿	Bill Clinton
詹姆士·麦迪逊	James Madison
詹姆士·门罗	James Monroe
狄兰·托马斯	Dylan Thomas
艾兹拉·庞德	Ezra Pound
约翰·弥尔顿	John Milton
约翰·哈比森	John Harbison
沃尔特·惠特曼	Walt Whitman
艾伦·图灵	Alan Turing
查尔斯·狄更斯	Charles Dickens
迈克尔·舒马赫	Michael Schumacher
格奥尔格·威廉·弗里德里希·黑格尔	Georg Wilhelm Friedrich Hegel
克劳斯·沃维雷特	Klaus Wowereit
斯蒂芬·金	Stephen King
克劳德·杰德	Claude Jade
约翰·济慈	John Keats
卡尔·马克思	Karl Marx
亚西尔·阿拉法特	Yasser Arafat
约翰尼·卡什	Johnny Cash
巴勃罗·聂鲁达	Pablo Neruda
西格蒙德·弗洛伊德	Sigmund Freud
埃德加·德加	Edgar Degas
查尔斯·达尔文	Charles Darwin
弗拉基米尔·列宁	Vladimir Lenin
安东尼·高迪	Antoni Gaudí
切·格瓦拉	Che Guevara
伊曼努尔·康德	Immanuel Kant
约翰·米尔顿	John Milton
瓦尔特·惠特曼	Walt Whitman
伊利亚·卡赞	Elia Kazan
阿诺·斯瓦辛格	Arnold Schwarzenegger
T·S·艾略特	T. S. Eliot
阿诺德·阿洛伊斯·施瓦辛格	Arnold Schwarzenegger
路德维希·维特根斯坦	Ludwig Wittgenstein
