#### UTF-8 
#### 简化字总表，1986年新版
#### 共2276条
#### 国家语言文字工作委员会1986年10月10日。简化字总表公布于1964年，是我国最终进行汉字简化后的总表，1986年10月，国家语委经国务院批准重新发布了《简化字总表》。
#### http://www.zsjy.gov.cn/yywz/yypg/gfwj/17.htm	、	http://www.kjqk.gd.cn/HTML/zlzx/12785517318915120561875011743515.html

碍	礙
肮	骯
袄	襖
坝	壩
板	闆
办	辦
帮	幫
宝	寶
报	報
币	幣
毙	斃
标	標
表	錶
别	彆
卜	蔔
补	補
才	纔
蚕	蠶
灿	燦
层	層
搀	攙
谗	讒
馋	饞
缠	纏
忏	懺
偿	償
厂	廠
彻	徹
尘	塵
衬	襯
称	稱
惩	懲
迟	遲
冲	衝
丑	醜
出	齣
础	礎
处	處
触	觸
辞	辭
聪	聰
丛	叢
担	擔
胆	膽
导	導
灯	燈
邓	鄧
敌	敵
籴	糴
递	遞
点	點
淀	澱
电	電
冬	鼕
斗	鬥
独	獨
吨	噸
夺	奪
堕	墮
儿	兒
矾	礬
范	範
飞	飛
坟	墳
奋	奮
粪	糞
凤	鳳
肤	膚
妇	婦
复	復	複
盖	蓋
干	乾	幹
赶	趕
个	個
巩	鞏
沟	溝
构	構
购	購
谷	榖
顾	顧
刮	颳
关	關
观	觀
柜	櫃
汉	漢
号	號
合	閤
轰	轟
后	後
胡	鬍
壶	壺
沪	滬
护	護
划	劃
怀	懷
坏	壞
欢	歡
环	環
还	還
回	迴
伙	夥
获	獲	穫
击	撃
鸡	鷄
积	積
极	極
际	際
继	繼
家	傢
价	價
艰	艱
歼	殲
茧	繭
拣	揀
硷	鹸
舰	艦
姜	薑
浆	漿
桨	槳
奖	奬
讲	講
酱	醤
胶	膠
阶	階
疖	癤
洁	潔
借	藉
仅	僅
惊	驚
竞	競
旧	舊
剧	劇
据	據
惧	懼
卷	捲
开	開
克	剋
垦	墾
恳	懇
夸	誇
块	塊
亏	虧
困	睏
腊	臘
蜡	蠟
兰	蘭
拦	攔
栏	欄
烂	爛
累	纍
垒	壘
类	類
里	裏
礼	禮
隶	隷
帘	簾
联	聯
怜	憐
炼	煉
练	練
粮	糧
疗	療
辽	遼
了	瞭
猎	獵
临	臨
邻	鄰
岭	嶺
庐	廬
芦	蘆
炉	爐
陆	陸
驴	驢
乱	亂
么	麽
霉	黴
蒙	矇	濛	懞
梦	夢
面	麵
庙	廟
灭	滅
蔑	衊
亩	畝
恼	惱
脑	腦
拟	擬
酿	釀
疟	瘧
盘	盤
辟	闢
苹	蘋
凭	憑
扑	撲
仆	僕
朴	樸
启	啓
签	籤	簽
千	韆
牵	牽
纤	縴	纖
窍	竅
窃	竊
寝	寢
庆	慶
琼	瓊
秋	鞦
曲	麯
权	權
劝	勸
确	確
让	讓
扰	擾
热	熱
认	認
洒	灑
伞	傘
丧	喪
扫	掃
涩	澀
晒	曬
伤	傷
舍	捨
沈	瀋
声	聲
